Login_ID,Repo_Count,Follower_Count,Member_Since
"

        erinata  
        ",85, 93  , ( 2010-12-23 ) 
"

        sco  
        ",32, *  513   , ( 2008-02-16 ) 
"

        voodootikigod  
        ",125, *  660   , ( 2008-02-19 ) 
"

        piclez  
        ",39, 48  , ( 2008-02-24 ) 
"

        brianleroux  
        ",360, *  1741   , ( 2008-02-26 ) 
"

        coty  
        ",73, 66  , ( 2008-02-27 ) 
"

        clarkbw  
        ",82, *  391   , ( 2008-03-04 ) 
"

        orlin  
        ",43, 51  , ( 2008-03-06 ) 
"

        jacques  
        ",386, 90  , ( 2008-03-07 ) 
"

        baron  
        ",24, 41  , ( 2008-03-09 ) 
"

        stinie  
        ",138, 52  , ( 2008-03-13 ) 
"

        thomd  
        ",105, 25  , ( 2008-03-18 ) 
"

        quinn  
        ",134, 65  , ( 2008-03-25 ) 
"

        jevon  
        ",2, 40  , ( 2008-04-02 ) 
"

        hlb  
        ",40, *  227   , ( 2008-04-03 ) 
"

        eoin  
        ",4, 86  , ( 2008-04-03 ) 
"

        thekvn  
        ",23, 39  , ( 2008-04-07 ) 
"

        jhaynie  
        ",112, *  374   , ( 2008-04-09 ) 
"

        wilsonminer  
        ",7, 99  , ( 2008-04-09 ) 
"

        asoltys  
        ",204, *  149   , ( 2008-04-16 ) 
"

        collin  
        ",236, *  178   , ( 2008-04-18 ) 
"

        fling  
        ",4, 26  , ( 2008-05-05 ) 
"

        peterpunk  
        ",4, 47  , ( 2008-05-08 ) 
"

        diclophis  
        ",106, *  120   , ( 2008-05-13 ) 
"

        jaredhanson  
        ",408, *  3418   , ( 2008-05-15 ) 
"

        rchk  
        ",9, 33  , ( 2008-05-16 ) 
"

        mlynch  
        ",122, *  1313   , ( 2008-05-22 ) 
"

        grantmichaels  
        ",10, 48  , ( 2008-06-21 ) 
"

        frozzare  
        ",296, *  208   , ( 2008-06-22 ) 
"

        johnantoni  
        ",535, *  118   , ( 2008-06-30 ) 
"

        silentrob  
        ",112, *  316   , ( 2008-07-04 ) 
"

        roy  
        ",35, 15  , ( 2008-03-04 ) 
"

        Wijnand  
        ",12, 16  , ( 2008-06-10 ) 
"

        arjan  
        ",239, *  168   , ( 2008-09-15 ) 
"

        archan937  
        ",66, 82  , ( 2009-02-08 ) 
"

        bulters  
        ",75, 13  , ( 2009-02-23 ) 
"

        michaelkoper  
        ",38, 23  , ( 2009-05-17 ) 
"

        sajoku  
        ",99, 17  , ( 2010-09-07 ) 
"

        chrisobdam  
        ",4, 6  , ( 2011-02-24 ) 
"

        pomazanbohdan  
        ",11, 6  , ( 2011-03-29 ) 
"

        evinw  
        ",8, *  1398   , ( 2011-06-11 ) 
"

        jameskyokushin  
        ",30, 19  , ( 2011-08-04 ) 
"

        ssleptsov  
        ",29, 100  , ( 2011-12-03 ) 
"

        innomarkglobal  
        ",0, 14  , ( 2012-10-10 ) 
"

        grdw  
        ",6, 21  , ( 2012-10-29 ) 
"

        ayeminag  
        ",28, 27  , ( 2012-10-30 ) 
"

        KevinHock  
        ",39, *  4695   , ( 2012-12-19 ) 
"

        Frenchcooc  
        ",21, 47  , ( 2013-01-13 ) 
"

        cusspvz  
        ",159, *  7743   , ( 2013-02-15 ) 
"

        VagrantStory  
        ",9, *  1987   , ( 2013-04-05 ) 
"

        Xyphex  
        ",9, 5  , ( 2013-06-27 ) 
"

        gabrielpconceicao  
        ",24, *  1878   , ( 2013-07-31 ) 
"

        Hamz-a  
        ",33, *  189   , ( 2013-08-28 ) 
"

        rodrigooler  
        ",204, *  1224   , ( 2013-09-19 ) 
"

        iusaghsnre 
",18, *  12326   , ( 2013-11-07 ) 
"

        dalinhuang99  
        ",-1, -1  , ( 0000-00-00 ) 
"

        twopack  
        ",9, 30  , ( 2014-01-29 ) 
"

        iPiacsczaMkzhwlei 
",66, *  5384   , ( 2014-02-13 ) 
"

        dplewis  
        ",120, *  1748   , ( 2014-11-18 ) 
"

        ipghnlngee 
",-1, -1  , ( 0000-00-00 ) 
"

        Bitonics  
        ",2, 75  , ( 2018-01-23 ) 
"

        neakich 
",52, *  381   , ( 2008-03-28 ) 
"

        deanj 
",19, *  148   , ( 2008-04-03 ) 
"

        uleacnhe 
",120, *  4686   , ( 2008-04-07 ) 
"

        yong  
        ",17, 52  , ( 2008-04-08 ) 
"

        poshboytl  
        ",96, *  629   , ( 2008-04-09 ) 
"

        winfield  
        ",13, 41  , ( 2008-04-12 ) 
"

        otmonil 
",46, *  162   , ( 2008-04-19 ) 
"

        beenhero  
        ",25, *  190   , ( 2008-04-22 ) 
"

        cashplk  
        ",2, 29  , ( 2008-04-24 ) 
"

        gyosiinr 
",7, 29  , ( 2008-05-08 ) 
"

        sishen  
        ",57, *  675   , ( 2008-05-22 ) 
"

        RobinWu  
        ",50, 32  , ( 2008-06-08 ) 
"

        jlisbz  
        ",82, 21  , ( 2008-06-11 ) 
"

        m2q0p 
",202, *  765   , ( 2008-06-11 ) 
"

        crazycode  
        ",212, 67  , ( 2008-06-22 ) 
"

        saberma  
        ",37, *  675   , ( 2008-06-26 ) 
"

        wenkailegn 
",37, 31  , ( 2008-09-04 ) 
"

        onoaguicgu 
",6, 27  , ( 2008-09-27 ) 
"

        gaolei  
        ",18, 15  , ( 2008-09-28 ) 
"

        niboadlig 
",119, *  619   , ( 2008-10-04 ) 
"

        akzaho 
",9, 10  , ( 2008-10-29 ) 
"

        yatwql  
        ",61, 6  , ( 2008-11-07 ) 
"

        lnsoso  
        ",849, 0  , ( 2008-11-08 ) 
"

        kenneth  
        ",121, 83  , ( 2008-11-08 ) 
"

        sorrycc  
        ",202, *  12816   , ( 2008-11-18 ) 
"

        doitian  
        ",191, *  324   , ( 2008-11-21 ) 
"

        tualatrix  
        ",102, *  1410   , ( 2008-11-21 ) 
"

        iucnhz 
",27, *  161   , ( 2008-11-27 ) 
"

        xiaods  
        ",209, *  385   , ( 2008-12-02 ) 
"

        ziory 
",72, *  116   , ( 2008-12-08 ) 
"

        yidhamesm 
",57, 18  , ( 2011-05-15 ) 
"

        ssleptsov  
        ",29, 100  , ( 2011-12-03 ) 
"

        erqudeauenilr 
",1, 1  , ( 2012-10-02 ) 
"

        ugherasisn 
",18, *  12326   , ( 2013-11-07 ) 
"

        dalinhuang99  
        ",-1, -1  , ( 0000-00-00 ) 
"

        lumberjackchef  
        ",8, 15  , ( 2014-05-23 ) 
"

        skieaK 
",60, *  1078   , ( 2016-04-24 ) 
"

        SradkhejMfiu 
",23, *  1517   , ( 2017-12-14 ) 
"

        shmuel7e  
        ",12, 17  , ( 2018-10-05 ) 
"

        jm  
        ",132, *  509   , ( 2008-01-29 ) 
"

        yslnilsfak 
",20, 70  , ( 2008-02-26 ) 
"

        adambair  
        ",61, *  112   , ( 2008-02-26 ) 
"

        mbleigh  
        ",147, *  885   , ( 2008-02-27 ) 
"

        rmidbannle 
",118, *  144   , ( 2008-02-29 ) 
"

        cselmer  
        ",24, 79  , ( 2008-03-04 ) 
"

        7tebrmc9n 
",20, 55  , ( 2008-03-10 ) 
"

        jonathannelson  
        ",2, 50  , ( 2008-03-21 ) 
"

        naffis  
        ",28, 73  , ( 2008-03-25 ) 
"

        rayvinly  
        ",11, *  313   , ( 2008-03-26 ) 
"

        kaichen  
        ",52, *  381   , ( 2008-03-28 ) 
"

        nnendkjyio 
",73, 95  , ( 2008-04-03 ) 
"

        thadd  
        ",22, 63  , ( 2008-04-03 ) 
"

        rocoea 
",20, 98  , ( 2008-04-04 ) 
"

        alheceun 
",120, *  4686   , ( 2008-04-07 ) 
"

        yong  
        ",17, 52  , ( 2008-04-08 ) 
"

        janx  
        ",103, *  1042   , ( 2008-04-09 ) 
"

        lpthooybs 
",96, *  629   , ( 2008-04-09 ) 
"

        lgn21st  
        ",92, *  679   , ( 2008-04-13 ) 
"

        beenhero  
        ",25, *  190   , ( 2008-04-22 ) 
"

        flipsasser  
        ",18, 86  , ( 2008-04-26 ) 
"

        neaprtsiole 
",67, 83  , ( 2008-05-07 ) 
"

        gskiwi 
",57, *  108   , ( 2008-05-13 ) 
"

        sishen  
        ",57, *  675   , ( 2008-05-22 ) 
"

        ssoper  
        ",52, 89  , ( 2008-06-05 ) 
"

        iszjlb 
",82, 21  , ( 2008-06-11 ) 
"

        marsbae 
",37, *  675   , ( 2008-06-26 ) 
"

        iuicor 
",76, *  112   , ( 2008-09-10 ) 
"

        davidpots  
        ",46, 77  , ( 2008-10-16 ) 
"

        tomz  
        ",132, *  111   , ( 2008-11-01 ) 
"

        topfunky  
        ",86, *  1291   , ( 2008-01-15 ) 
"

        atmos  
        ",170, *  1270   , ( 2008-01-22 ) 
"

        jcrosby  
        ",28, *  184   , ( 2008-02-07 ) 
"

        leelllooloel 
",1406, *  317   , ( 2008-02-13 ) 
"

        sco  
        ",32, *  513   , ( 2008-02-16 ) 
"

        iumb 
",172, *  395   , ( 2008-02-16 ) 
"

        pumbr 
",31, 56  , ( 2008-02-17 ) 
"

        tterb 
",17, 39  , ( 2008-02-20 ) 
"

        luke0x  
        ",27, 93  , ( 2008-02-26 ) 
"

        rmoriz  
        ",82, *  176   , ( 2008-02-28 ) 
"

        lgs  
        ",1076, *  146   , ( 2008-02-28 ) 
"

        axiv 
",15, 39  , ( 2008-02-28 ) 
"

        iikcshp 
",18, 25  , ( 2008-03-04 ) 
"

        tmacsdaa 
",103, *  734   , ( 2008-03-12 ) 
"

        jcfischer  
        ",72, 54  , ( 2008-03-14 ) 
"

        lazzarello  
        ",152, *  169   , ( 2008-03-26 ) 
"

        kaichen  
        ",52, *  381   , ( 2008-03-28 ) 
"

        ekebrly 
",233, *  202   , ( 2008-04-02 ) 
"

        epupb 
",41, *  128   , ( 2008-04-03 ) 
"

        asiakza 
",1, 72  , ( 2008-04-03 ) 
"

        ivanoats  
        ",359, *  290   , ( 2008-04-03 ) 
"

        artob  
        ",36, *  447   , ( 2008-04-04 ) 
"

        prenasiostnttl 
",16, 12  , ( 2008-04-05 ) 
"

        darwin  
        ",143, *  706   , ( 2008-04-06 ) 
"

        ijk 
",10, 15  , ( 2008-04-08 ) 
"

        hnhnoucg 
",3, 6  , ( 2008-04-13 ) 
"

        membogg  
        ",4, 17  , ( 2008-04-16 ) 
"

        bernrcu 
",33, 39  , ( 2008-04-27 ) 
"

        watson  
        ",388, *  1723   , ( 2008-05-17 ) 
"

        igrigorik  
        ",75, *  8404   , ( 2008-05-18 ) 
"

        allanfreitas  
        ",239, 59  , ( 2010-06-13 ) 
"

        HcKovkien 
",39, *  4695   , ( 2012-12-19 ) 
"

        rodrigooler  
        ",204, *  1224   , ( 2013-09-19 ) 
"

        rsaesihgun 
",18, *  12326   , ( 2013-11-07 ) 
"

        itajegej 
",41, *  2230   , ( 2018-12-19 ) 
"

        superisaac  
        ",59, 62  , ( 2008-06-04 ) 
"

        naulb 
",86, *  134   , ( 2008-11-20 ) 
"

        jserv  
        ",113, *  3403   , ( 2010-11-12 ) 
"

        trietptm  
        ",198, *  1355   , ( 2010-12-17 ) 
"

        atbmiun 
",144, *  1328   , ( 2011-01-08 ) 
"

        KJlmfe  
        ",65, 95  , ( 2011-12-03 ) 
"

        LMnCeuuhgn 
",13, *  136   , ( 2012-08-08 ) 
"

        KevinHock  
        ",39, *  4695   , ( 2012-12-19 ) 
"

        hkhi900tanas 
",1466, *  145   , ( 2013-02-09 ) 
"

        aehehd 
",1, *  641   , ( 2013-05-12 ) 
"

        vlordier  
        ",33, *  375   , ( 2013-09-12 ) 
"

        angusshire  
        ",18, *  12326   , ( 2013-11-07 ) 
"

        SummerCHINA  
        ",1, 1  , ( 2013-11-14 ) 
"

        jdjjd 
",0, 0  , ( 2013-12-11 ) 
"

        dalinhuang99  
        ",-1, -1  , ( 0000-00-00 ) 
"

        MichalPaszkiewicz  
        ",66, *  5384   , ( 2014-02-13 ) 
"

        tchnorider  
        ",16, *  290   , ( 2015-09-04 ) 
"

        Lisprez  
        ",411, *  1154   , ( 2015-09-23 ) 
"

        Linux-Player  
        ",2, *  1200   , ( 2016-10-10 ) 
"

        ilmsen 
",2, *  680   , ( 2017-03-10 ) 
"

        xiaolan98  
        ",20, 5  , ( 2017-09-13 ) 
"

        andresurepno  
        ",0, 11  , ( 2017-12-07 ) 
"

        dlsy6 
",-1, -1  , ( 0000-00-00 ) 
"

        haobuxia  
        ",11, 3  , ( 2018-09-23 ) 
"

        snowwhite-boss  
        ",-1, -1  , ( 0000-00-00 ) 
"

        glhewett  
        ",30, 18  , ( 2008-04-18 ) 
"

        rpnsgenit 
",3, 4  , ( 2008-06-14 ) 
"

        hwhsohaethwieeetrmttre 
",47, 58  , ( 2008-07-07 ) 
"

        codeodor  
        ",108, 37  , ( 2008-09-06 ) 
"

        cmavromoustakos  
        ",23, 32  , ( 2009-08-03 ) 
"

        benwbrum  
        ",26, 86  , ( 2010-02-09 ) 
"

        mashiox  
        ",47, 52  , ( 2010-06-18 ) 
"

        vagasde 
",121, 82  , ( 2010-09-04 ) 
"

        syhpneltkoa 
",54, 2  , ( 2011-01-20 ) 
"

        svtpanersdo 
",14, 9  , ( 2011-05-27 ) 
"

        lypaehaeit 
",38, 22  , ( 2011-10-04 ) 
"

        bishopZ  
        ",47, 58  , ( 2011-10-19 ) 
"

        eenkgcbaairn 
",31, *  141   , ( 2015-11-10 ) 
"

        MaxValue  
        ",35, 41  , ( 2012-02-17 ) 
"

        shamio  
        ",2, *  663   , ( 2012-03-11 ) 
"

        exgalaxy  
        ",2, 1  , ( 2012-03-13 ) 
"

        KevinHock  
        ",39, *  4695   , ( 2012-12-19 ) 
"

        aachokey  
        ",21, 41  , ( 2013-05-27 ) 
"

        atsiarenia  
        ",2, 14  , ( 2013-10-21 ) 
"

        ghssniaeur 
",18, *  12326   , ( 2013-11-07 ) 
"

        nnujsilhoi 
",3, 1  , ( 2015-03-04 ) 
"

        boashybenib 
",28, 9  , ( 2015-03-07 ) 
"

        iednraimiail 
",27, 17  , ( 2015-04-01 ) 
"

        ikl-ezmee 
",32, 18  , ( 2015-04-23 ) 
"

        pennyone00  
        ",0, 2  , ( 2015-10-29 ) 
"

        reuaanreludn 
",22, 11  , ( 2016-01-09 ) 
"

        EricAtMSFT  
        ",4, 9  , ( 2016-02-19 ) 
"

        laconc  
        ",8, 17  , ( 2016-07-12 ) 
"

        ceehlvgtsuma 
",28, 28  , ( 2016-07-26 ) 
"

        dsezhdwtera 
",497, *  569   , ( 2016-12-12 ) 
"

        pablete  
        ",25, 72  , ( 2008-02-19 ) 
"

        tel  
        ",195, *  212   , ( 2008-02-27 ) 
"

        lkadauannn 
",7, 100  , ( 2008-02-28 ) 
"

        ask  
        ",86, *  1896   , ( 2008-02-28 ) 
"

        jiahao  
        ",142, *  588   , ( 2008-02-29 ) 
"

        mmcgrana  
        ",60, *  1073   , ( 2008-03-06 ) 
"

        t1mm 
",314, *  2354   , ( 2008-03-08 ) 
"

        mokeefe  
        ",1, 20  , ( 2008-03-25 ) 
"

        ihtcetr 
",176, *  176   , ( 2008-04-02 ) 
"

        nlgegdi 
",26, 56  , ( 2008-04-04 ) 
"

        dehora  
        ",46, 85  , ( 2008-04-06 ) 
"

        ngakinyr 
",34, *  247   , ( 2008-04-07 ) 
"

        mrflip  
        ",144, *  269   , ( 2008-04-09 ) 
"

        cradeerg 
",89, *  231   , ( 2008-04-15 ) 
"

        dwhl 
",47, *  295   , ( 2008-05-07 ) 
"

        jmalonzo  
        ",67, 83  , ( 2008-06-01 ) 
"

        dustinwhittle  
        ",1, *  274   , ( 2008-06-01 ) 
"

        rkrfdei 
",58, 72  , ( 2008-06-06 ) 
"

        nerajbo 
",293, *  166   , ( 2008-06-10 ) 
"

        massie  
        ",39, *  120   , ( 2008-08-04 ) 
"

        EricPKerr  
        ",56, 36  , ( 2008-08-11 ) 
"

        fum 
",2, 6  , ( 2008-08-25 ) 
"

        aparo  
        ",151, *  149   , ( 2008-10-08 ) 
"

        so  
        ",0, 20  , ( 2008-10-21 ) 
"

        gourneau  
        ",75, 69  , ( 2008-10-22 ) 
"

        rte 
",19, 37  , ( 2008-11-09 ) 
"

        latrokles  
        ",24, 56  , ( 2008-11-18 ) 
"

        linkerlin  
        ",311, *  155   , ( 2008-11-28 ) 
"

        matteobertozzi  
        ",23, 65  , ( 2008-12-04 ) 
"

        travisbrady  
        ",58, 94  , ( 2008-12-04 ) 
"

        cwsaylor  
        ",25, 41  , ( 2008-02-14 ) 
"

        edgar  
        ",129, 52  , ( 2008-09-12 ) 
"

        iarmbumyi 
",130, 58  , ( 2008-10-16 ) 
"

        maca  
        ",91, *  101   , ( 2008-10-19 ) 
"

        miamiartexchange  
        ",2, 6  , ( 2008-10-25 ) 
"

        ggatim 
",50, *  279   , ( 2008-11-07 ) 
"

        willywg  
        ",41, 45  , ( 2009-01-01 ) 
"

        zuerjja 
",126, 52  , ( 2009-01-20 ) 
"

        ceolcirdhli 
",161, *  120   , ( 2009-01-25 ) 
"

        endymion  
        ",97, 26  , ( 2009-02-06 ) 
"

        xlkoaxa 
",22, 28  , ( 2009-03-17 ) 
"

        rscitalo 
",27, 82  , ( 2009-03-25 ) 
"

        iircsnrosaahjt 
",11, 36  , ( 2009-06-04 ) 
"

        scifisamurai  
        ",12, 32  , ( 2009-09-28 ) 
"

        eotiausk 
",64, *  178   , ( 2009-10-13 ) 
"

        guilleiguaran  
        ",258, *  623   , ( 2009-12-02 ) 
"

        shmangles  
        ",3, 2  , ( 2010-01-23 ) 
"

        grunch  
        ",72, 79  , ( 2010-03-23 ) 
"

        hugoerg56  
        ",31, 20  , ( 2010-05-21 ) 
"

        betacar  
        ",27, 36  , ( 2010-07-06 ) 
"

        mattsgarrison  
        ",78, 17  , ( 2010-08-12 ) 
"

        iamhabitat  
        ",24, 8  , ( 2010-09-16 ) 
"

        albertogg  
        ",47, 90  , ( 2010-10-24 ) 
"

        oCelh 
",5, 10  , ( 2011-01-29 ) 
"

        ajsb85  
        ",438, *  925   , ( 2011-03-11 ) 
"

        esneider  
        ",47, *  145   , ( 2011-03-13 ) 
