Login_ID,Repo_Count,Follower_Count,Member_Since
erinata,85,93,( 2010-12-23 )
sco,32,*  513,( 2008-02-16 )
voodootikigod,125,*  660,( 2008-02-19 )
piclez,39,48,( 2008-02-24 )
brianleroux,360,*  1741,( 2008-02-26 )
coty,73,66,( 2008-02-27 )
clarkbw,82,*  391,( 2008-03-04 )
orlin,43,51,( 2008-03-06 )
jacques,386,90,( 2008-03-07 )
baron,24,41,( 2008-03-09 )
stinie,138,52,( 2008-03-13 )
thomd,105,25,( 2008-03-18 )
quinn,134,65,( 2008-03-25 )
jevon,2,40,( 2008-04-02 )
hlb,40,*  227,( 2008-04-03 )
eoin,4,86,( 2008-04-03 )
thekvn,23,39,( 2008-04-07 )
jhaynie,112,*  374,( 2008-04-09 )
wilsonminer,7,99,( 2008-04-09 )
asoltys,204,*  149,( 2008-04-16 )
collin,236,*  178,( 2008-04-18 )
fling,4,26,( 2008-05-05 )
peterpunk,4,47,( 2008-05-08 )
diclophis,106,*  120,( 2008-05-13 )
jaredhanson,408,*  3418,( 2008-05-15 )
rchk,9,33,( 2008-05-16 )
mlynch,122,*  1313,( 2008-05-22 )
grantmichaels,10,48,( 2008-06-21 )
frozzare,296,*  208,( 2008-06-22 )
johnantoni,535,*  118,( 2008-06-30 )
silentrob,112,*  316,( 2008-07-04 )
roy,35,15,( 2008-03-04 )
Wijnand,12,16,( 2008-06-10 )
arjan,239,*  168,( 2008-09-15 )
archan937,66,82,( 2009-02-08 )
bulters,75,13,( 2009-02-23 )
michaelkoper,38,23,( 2009-05-17 )
sajoku,99,17,( 2010-09-07 )
chrisobdam,4,6,( 2011-02-24 )
pomazanbohdan,11,6,( 2011-03-29 )
evinw,8,*  1398,( 2011-06-11 )
jameskyokushin,30,19,( 2011-08-04 )
ssleptsov,29,100,( 2011-12-03 )
innomarkglobal,0,14,( 2012-10-10 )
grdw,6,21,( 2012-10-29 )
ayeminag,28,27,( 2012-10-30 )
KevinHock,39,*  4695,( 2012-12-19 )
Frenchcooc,21,47,( 2013-01-13 )
cusspvz,159,*  7743,( 2013-02-15 )
VagrantStory,9,*  1987,( 2013-04-05 )
Xyphex,9,5,( 2013-06-27 )
gabrielpconceicao,24,*  1878,( 2013-07-31 )
Hamz-a,33,*  189,( 2013-08-28 )
rodrigooler,204,*  1224,( 2013-09-19 )
twopack,9,30,( 2014-01-29 )
dplewis,120,*  1748,( 2014-11-18 )
Bitonics,2,75,( 2018-01-23 )
neakich,52,*  381,( 2008-03-28 )
deanj,19,*  148,( 2008-04-03 )
yong,17,52,( 2008-04-08 )
poshboytl,96,*  629,( 2008-04-09 )
winfield,13,41,( 2008-04-12 )
beenhero,25,*  190,( 2008-04-22 )
cashplk,2,29,( 2008-04-24 )
sishen,57,*  675,( 2008-05-22 )
RobinWu,50,32,( 2008-06-08 )
jlisbz,82,21,( 2008-06-11 )
crazycode,212,67,( 2008-06-22 )
saberma,37,*  675,( 2008-06-26 )
gaolei,18,15,( 2008-09-28 )
yatwql,61,6,( 2008-11-07 )
lnsoso,849,0,( 2008-11-08 )
kenneth,121,83,( 2008-11-08 )
sorrycc,202,*  12816,( 2008-11-18 )
doitian,191,*  324,( 2008-11-21 )
tualatrix,102,*  1410,( 2008-11-21 )
xiaods,209,*  385,( 2008-12-02 )
lumberjackchef,8,15,( 2014-05-23 )
shmuel7e,12,17,( 2018-10-05 )
jm,132,*  509,( 2008-01-29 )
adambair,61,*  112,( 2008-02-26 )
mbleigh,147,*  885,( 2008-02-27 )
cselmer,24,79,( 2008-03-04 )
jonathannelson,2,50,( 2008-03-21 )
naffis,28,73,( 2008-03-25 )
rayvinly,11,*  313,( 2008-03-26 )
kaichen,52,*  381,( 2008-03-28 )
thadd,22,63,( 2008-04-03 )
janx,103,*  1042,( 2008-04-09 )
lgn21st,92,*  679,( 2008-04-13 )
flipsasser,18,86,( 2008-04-26 )
ssoper,52,89,( 2008-06-05 )
davidpots,46,77,( 2008-10-16 )
tomz,132,*  111,( 2008-11-01 )
topfunky,86,*  1291,( 2008-01-15 )
atmos,170,*  1270,( 2008-01-22 )
jcrosby,28,*  184,( 2008-02-07 )
tterb,17,39,( 2008-02-20 )
luke0x,27,93,( 2008-02-26 )
rmoriz,82,*  176,( 2008-02-28 )
lgs,1076,*  146,( 2008-02-28 )
axiv,15,39,( 2008-02-28 )
jcfischer,72,54,( 2008-03-14 )
lazzarello,152,*  169,( 2008-03-26 )
ivanoats,359,*  290,( 2008-04-03 )
artob,36,*  447,( 2008-04-04 )
darwin,143,*  706,( 2008-04-06 )
ijk,10,15,( 2008-04-08 )
membogg,4,17,( 2008-04-16 )
watson,388,*  1723,( 2008-05-17 )
igrigorik,75,*  8404,( 2008-05-18 )
allanfreitas,239,59,( 2010-06-13 )
superisaac,59,62,( 2008-06-04 )
jserv,113,*  3403,( 2010-11-12 )
trietptm,198,*  1355,( 2010-12-17 )
KJlmfe,65,95,( 2011-12-03 )
vlordier,33,*  375,( 2013-09-12 )
angusshire,18,*  12326,( 2013-11-07 )
SummerCHINA,1,1,( 2013-11-14 )
jdjjd,0,0,( 2013-12-11 )
MichalPaszkiewicz,66,*  5384,( 2014-02-13 )
tchnorider,16,*  290,( 2015-09-04 )
Lisprez,411,*  1154,( 2015-09-23 )
Linux-Player,2,*  1200,( 2016-10-10 )
xiaolan98,20,5,( 2017-09-13 )
andresurepno,0,11,( 2017-12-07 )
haobuxia,11,3,( 2018-09-23 )
glhewett,30,18,( 2008-04-18 )
codeodor,108,37,( 2008-09-06 )
cmavromoustakos,23,32,( 2009-08-03 )
benwbrum,26,86,( 2010-02-09 )
mashiox,47,52,( 2010-06-18 )
bishopZ,47,58,( 2011-10-19 )
MaxValue,35,41,( 2012-02-17 )
shamio,2,*  663,( 2012-03-11 )
exgalaxy,2,1,( 2012-03-13 )
aachokey,21,41,( 2013-05-27 )
atsiarenia,2,14,( 2013-10-21 )
pennyone00,0,2,( 2015-10-29 )
EricAtMSFT,4,9,( 2016-02-19 )
laconc,8,17,( 2016-07-12 )
pablete,25,72,( 2008-02-19 )
tel,195,*  212,( 2008-02-27 )
ask,86,*  1896,( 2008-02-28 )
jiahao,142,*  588,( 2008-02-29 )
mmcgrana,60,*  1073,( 2008-03-06 )
t1mm,314,*  2354,( 2008-03-08 )
mokeefe,1,20,( 2008-03-25 )
dehora,46,85,( 2008-04-06 )
mrflip,144,*  269,( 2008-04-09 )
dwhl,47,*  295,( 2008-05-07 )
jmalonzo,67,83,( 2008-06-01 )
dustinwhittle,1,*  274,( 2008-06-01 )
massie,39,*  120,( 2008-08-04 )
EricPKerr,56,36,( 2008-08-11 )
fum,2,6,( 2008-08-25 )
aparo,151,*  149,( 2008-10-08 )
so,0,20,( 2008-10-21 )
gourneau,75,69,( 2008-10-22 )
rte,19,37,( 2008-11-09 )
latrokles,24,56,( 2008-11-18 )
linkerlin,311,*  155,( 2008-11-28 )
matteobertozzi,23,65,( 2008-12-04 )
travisbrady,58,94,( 2008-12-04 )
cwsaylor,25,41,( 2008-02-14 )
edgar,129,52,( 2008-09-12 )
maca,91,*  101,( 2008-10-19 )
miamiartexchange,2,6,( 2008-10-25 )
willywg,41,45,( 2009-01-01 )
endymion,97,26,( 2009-02-06 )
scifisamurai,12,32,( 2009-09-28 )
guilleiguaran,258,*  623,( 2009-12-02 )
shmangles,3,2,( 2010-01-23 )
grunch,72,79,( 2010-03-23 )
hugoerg56,31,20,( 2010-05-21 )
betacar,27,36,( 2010-07-06 )
mattsgarrison,78,17,( 2010-08-12 )
iamhabitat,24,8,( 2010-09-16 )
albertogg,47,90,( 2010-10-24 )
ajsb85,438,*  925,( 2011-03-11 )
esneider,47,*  145,( 2011-03-13 )
ainame,139,*  291,( 2011-04-24 )
josemontesdeoca,11,48,( 2011-05-01 )
ahmetabdi,154,*  709,( 2011-05-09 )
alfredwesterveld,52,64,( 2008-04-13 )
morganrallen,107,54,( 2008-09-02 )
rala,498,*  620,( 2008-12-20 )
mattorb,39,44,( 2009-03-09 )
elango,73,43,( 2009-03-20 )
andresdouglas,33,21,( 2009-04-10 )
arfrank,51,26,( 2009-09-16 )
Skyhoper,1,4,( 2009-11-17 )
CubeSpawn,8,*  107,( 2009-12-07 )
adkdev,5,27,( 2010-03-03 )
Poincare,49,98,( 2010-03-06 )
gavinuhma,28,*  147,( 2010-09-17 )
marothstein,41,49,( 2010-10-12 )
jefftrudeau,9,8,( 2010-11-19 )
freewil,127,*  101,( 2011-04-08 )
jaybny,25,15,( 2011-05-09 )
Hungsta,4,32,( 2011-07-28 )
wemeetagain,75,*  130,( 2012-01-18 )
oggata,162,46,( 2012-01-20 )
tigefa4u,265,*  456,( 2012-03-02 )
csjaba,53,*  853,( 2012-09-22 )
zulhfreelancer,205,*  157,( 2013-01-29 )
shanesveller,102,96,( 2008-02-25 )
ivan,6,*  144,( 2008-04-03 )
teehemkay,12,20,( 2008-04-04 )
dejanr,43,56,( 2008-07-26 )
bbigras,170,36,( 2008-09-10 )
joachifm,29,47,( 2008-12-21 )
jb55,536,*  399,( 2009-01-10 )
newhoggy,74,84,( 2009-03-13 )
stigtsp,152,77,( 2009-04-19 )
plumenator,83,78,( 2009-07-11 )
rohithadassanayake,5,*  526,( 2009-07-30 )
735,134,78,( 2009-09-06 )
aycanirican,55,77,( 2009-10-05 )
majorgreys,45,41,( 2009-11-19 )
terlar,100,*  111,( 2010-05-18 )
EvanMisshula,193,98,( 2010-06-09 )
pchab,146,92,( 2010-07-16 )
nckx,37,18,( 2010-08-14 )
wolfflow,67,56,( 2010-08-20 )
timothyklim,229,*  174,( 2010-09-04 )
Boyquotes,163,59,( 2010-09-27 )
benhiller,15,74,( 2008-02-27 )
jubishop,40,56,( 2008-06-10 )
eston,9,*  141,( 2009-01-23 )
metria,16,49,( 2009-01-24 )
keito,2,82,( 2009-06-22 )
singerdmx,15,*  446,( 2009-09-03 )
dennispi,7,9,( 2010-09-03 )
mbautin,144,*  1328,( 2011-01-08 )
BrianGator,0,5,( 2011-01-14 )
yuanwencong,4,10,( 2011-03-18 )
rajanand,31,46,( 2011-08-27 )
momare,0,0,( 2011-11-26 )
Ryanfahiramaulana,0,3,( 2011-11-29 )
Zer0Root,3,*  158,( 2012-01-02 )
waibo,190,46,( 2012-01-03 )
vrnithinkumar,116,43,( 2012-02-07 )
peterprokop,74,39,( 2012-02-26 )
drewmeyers,1,31,( 2012-08-18 )
abhiyerra,129,62,( 2008-04-11 )
brianmario,33,*  855,( 2008-05-26 )
DoktahWorm,10,11,( 2009-10-11 )
ericabouaf,109,99,( 2008-12-09 )
jpf,157,*  288,( 2008-12-19 )
hellojwilde,49,44,( 2009-01-05 )
Siim,40,50,( 2009-01-05 )
minglecm,35,78,( 2009-01-10 )
gcollazo,89,*  420,( 2009-03-07 )
allangrant,15,35,( 2009-03-12 )
kanzure,160,*  474,( 2009-07-03 )
seanahrens,18,15,( 2009-07-29 )
naharris212,0,5,( 2010-11-24 )
brajadorable,11,47,( 2011-05-10 )
SourceBoy,6,3,( 2011-05-16 )
macressler,947,*  300,( 2011-11-16 )
MnkyPwz,20,17,( 2012-01-01 )
toxtli,1150,*  2113,( 2012-01-02 )
Bunlong,215,*  1866,( 2012-01-06 )
b3bakyt,16,3,( 2012-02-23 )
mountain,67,*  262,( 2008-02-25 )
wouterdebres,3,6,( 2008-05-19 )
shanx,80,32,( 2008-10-06 )
mathieuravaux,127,96,( 2008-12-05 )
stonegao,140,*  292,( 2008-12-22 )
bobpoekert,97,85,( 2009-01-10 )
ticean,62,75,( 2009-01-15 )
karsthammer,49,13,( 2009-03-23 )
bcambel,74,*  113,( 2009-10-25 )
alexanderdean,6,*  204,( 2010-02-09 )
markkorput,143,21,( 2010-02-18 )
RaymondCrandall,31,79,( 2010-05-05 )
vizanto,55,60,( 2010-07-08 )
domenicosolazzo,426,*  206,( 2010-09-03 )
michielbdejong,402,*  282,( 2010-09-20 )
isakib,244,7,( 2010-11-11 )
rickbeerendonk,74,81,( 2010-11-12 )
pechorin,14,77,( 2010-03-19 )
forresto,108,*  192,( 2010-09-11 )
mohitmun,86,75,( 2012-03-25 )
kialam,31,5,( 2012-09-06 )
yikaraman,34,5,( 2013-09-18 )
garrisonreid,10,4,( 2014-07-17 )
dalinnen,1,5,( 2014-11-04 )
k-ey,7,11,( 2015-10-24 )
zhanknight,12,2,( 2016-07-16 )
nheide,10,1,( 2017-01-16 )
seabre,105,71,( 2008-12-22 )
biomunky,51,22,( 2009-03-26 )
catull,33,34,( 2009-11-07 )
rdaka,55,*  138,( 2010-02-08 )
honnung,2,1,( 2011-02-22 )
osteotek,23,22,( 2011-03-04 )
janfilips,14,47,( 2011-06-23 )
hemantasapkota,46,*  108,( 2011-07-05 )
kumavis,436,*  1167,( 2012-02-26 )
zhchang,20,18,( 2012-03-12 )
annb,27,37,( 2012-04-30 )
rain1024,158,*  281,( 2012-05-26 )
ssbb,45,35,( 2012-11-09 )
priornix,9,21,( 2013-02-25 )
kalamaznik,16,*  210,( 2013-04-15 )
ronenhamias,47,*  1589,( 2012-05-04 )
kinimodmeyer,3,14,( 2013-02-26 )
laxman954,69,9,( 2013-03-13 )
cchery101,122,5,( 2014-02-14 )
Sleepyhead-google,133,50,( 2014-08-25 )
sonmio,3,28,( 2017-01-09 )
pablogarriga,32,6,( 2017-09-04 )
opengineer,22,*  3043,( 2017-10-16 )
fortune,11,6,( 2009-01-06 )
justinshenk,78,*  272,( 2014-12-22 )
steffanjensen,107,*  411,( 2015-07-18 )
qingshen0802,55,99,( 2017-02-06 )
ijagjeet,41,*  2230,( 2018-12-19 )
ky-bot,1,*  300,( 2020-05-08 )
adampatterson,49,56,( 2008-10-28 )
ivansf,14,24,( 2009-01-29 )
TroyDWhite,10,7,( 2013-02-10 )
JaiiRashad34,6,1,( 2018-01-12 )
ahmedalazazy,298,*  235,( 2019-06-12 )
msakazo,2,1,( 2020-05-25 )
MintThitiratChamnan,14,26,( 2021-08-01 )
throughnothing,152,*  122,( 2009-03-09 )
esneko,39,*  265,( 2009-03-17 )
thejeshgn,299,*  686,( 2009-04-21 )
Neustradamus,42,*  445,( 2009-07-14 )
alexindigo,183,*  125,( 2009-09-15 )
martindale,1691,*  470,( 2009-09-22 )
jprichardson,167,*  1187,( 2009-11-07 )
aprock,4,22,( 2009-12-25 )
shovon,169,*  159,( 2010-05-23 )
RichAyotte,29,36,( 2010-06-03 )
alexeykudinkin,29,42,( 2010-10-05 )
lmatteis,79,*  190,( 2010-12-24 )
ksetrin,34,9,( 2011-03-17 )
fijiwebdesign,121,18,( 2011-05-25 )
kantmakm,19,6,( 2011-06-06 )
vespakoen,186,*  106,( 2011-06-26 )
martinheidegger,385,*  316,( 2011-07-14 )
amijkko,28,11,( 2015-04-14 )
mstraughan86,27,*  5886,( 2015-09-12 )
soldat13,6,39,( 2016-06-02 )
STRd6,234,*  782,( 2008-07-30 )
strj,7,14,( 2009-03-04 )
vsantosu,33,24,( 2012-04-02 )
FranciscoJGuz,9,*  121,( 2015-10-29 )
nwoods2019,0,10,( 2019-03-06 )
standino,21,24,( 2008-04-07 )
mattn,1833,*  9790,( 2008-05-13 )
fundon,105,*  831,( 2008-10-07 )
x2c3z4,29,98,( 2011-07-24 )
jiaofeng,32,18,( 2011-12-21 )
kroitor,40,*  2639,( 2011-12-30 )
onemouth,18,26,( 2012-02-04 )
hehead,1,*  641,( 2013-05-12 )
fastcoinproject,6,30,( 2013-05-28 )
lezasantaizi,35,25,( 2014-06-13 )
iNDicat0r,10,34,( 2015-06-30 )
freemanZYQ,1647,*  168,( 2017-01-04 )
krodyx,762,*  166,( 2017-02-24 )
InduprasadSR,11,*  345,( 2015-04-30 )
drybeans,63,16,( 2014-08-26 )
mengcoin,2,16,( 2018-01-15 )
Jungjaegu,20,9,( 2018-05-25 )
batsuuri,3,0,( 2012-06-07 )
erravimishracse,22,*  356,( 2016-07-13 )
NoreplyGao,4,11,( 2017-05-06 )
cvst,64,51,( 2008-04-07 )
htso,73,*  272,( 2008-06-24 )
lancetw,257,*  175,( 2009-03-10 )
esin,36,*  9655,( 2009-04-02 )
uira,30,*  140,( 2009-05-29 )
aastra,1780,50,( 2009-06-09 )
audy,184,*  331,( 2009-08-16 )
gongfuPanada,1605,14,( 2009-08-29 )
fly51fly,11,*  3459,( 2009-09-19 )
keix,4,17,( 2009-10-27 )
suneil,36,15,( 2009-12-09 )
rfilipo,50,36,( 2010-03-18 )
batermj,2384,*  1429,( 2010-04-23 )
WillemJan,35,0,( 2010-05-01 )
GabiThume,34,80,( 2010-05-27 )
t3573393,45,15,( 2010-05-28 )
johndpope,8082,*  664,( 2010-05-28 )
EmpeRoar,246,31,( 2010-06-30 )
sudachen,146,53,( 2008-02-28 )
romanz,108,*  252,( 2008-05-10 )
jpzk,107,*  113,( 2008-10-30 )
dgonzalez,90,*  170,( 2009-09-06 )
thiagozs,149,96,( 2009-10-16 )
dadaphl,18,37,( 2010-09-25 )
JaniAnttonen,50,*  104,( 2010-11-29 )
almartin82,72,80,( 2011-05-11 )
hieple7985,33,47,( 2011-06-08 )
xaviarias,16,58,( 2011-06-26 )
jhonsu01,41,33,( 2012-05-31 )
ckabuya,38,2,( 2012-08-21 )
y0sher,20,26,( 2012-10-19 )
jondo89,10,*  241,( 2012-11-26 )
rikonor,97,20,( 2013-01-27 )
ales9000,6,21,( 2013-02-06 )
kinkin10,226,*  910,( 2011-04-13 )
yyeexxhhh,10,18,( 2013-08-20 )
manjotkhangura,2,0,( 2014-01-11 )
iamgilwell,33,98,( 2014-02-22 )
canvaspixels,37,29,( 2012-01-19 )
Voidious,4,17,( 2012-07-25 )
jake100,57,*  1817,( 2013-10-28 )
vkandola,153,*  1608,( 2014-04-21 )
AdiChat,20,*  3216,( 2015-01-21 )
ArefMq,28,*  2831,( 2015-02-07 )
AlexxNica,6666,*  782,( 2015-09-17 )
jessuppi,13,*  425,( 2016-02-29 )
ilmalte,26,56,( 2016-03-05 )
una-tapa,28,2,( 2016-07-23 )
